No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Widgets,Use StatelessWidget when possible,Immutable widgets are simpler,StatelessWidget for static UI,StatefulWidget for everything,class MyWidget extends StatelessWidget,class MyWidget extends StatefulWidget (static),Medium,https://api.flutter.dev/flutter/widgets/StatelessWidget-class.html
2,Widgets,Keep widgets small,Single responsibility principle,Extract widgets into smaller pieces,Large build methods,Column(children: [Header() Content()]),500+ line build method,Medium,
3,Widgets,Use const constructors,Compile-time constants for performance,const MyWidget() when possible,Non-const for static widgets,const Text('Hello'),Text('Hello') for literals,High,https://dart.dev/guides/language/language-tour#constant-constructors
4,Widgets,Prefer composition over inheritance,Combine widgets using children,Compose widgets,Extend widget classes,Container(child: MyContent()),class MyContainer extends Container,Medium,
5,State,Use setState correctly,Minimal state in StatefulWidget,setState for UI state changes,setState for business logic,setState(() { _counter++; }),Complex logic in setState,Medium,https://api.flutter.dev/flutter/widgets/State/setState.html
6,State,Avoid setState in build,Never call setState during build,setState in callbacks only,setState in build method,onPressed: () => setState(() {}),build() { setState(); },High,
7,State,Use state management for complex apps,Provider Riverpod BLoC,State management for shared state,setState for global state,Provider.of<MyState>(context),Global setState calls,Medium,
8,State,Prefer Riverpod or Provider,Recommended state solutions,Riverpod for new projects,InheritedWidget manually,ref.watch(myProvider),Custom InheritedWidget,Medium,https://riverpod.dev/
9,State,Dispose resources,Clean up controllers and subscriptions,dispose() for cleanup,Memory leaks from subscriptions,@override void dispose() { controller.dispose(); },No dispose implementation,High,
10,Layout,Use Expanded and Flexible,Responsive layouts,Expanded for flexible space,Fixed sizes for responsive UI,Row(children: [Expanded(child: List()), Sidebar()]),Fixed width sidebar,Medium,
11,Layout,Use SizedBox for spacing,Consistent spacing,SizedBox(height: 16),Magic numbers in padding,const SizedBox(height: 16),Padding(padding: EdgeInsets.only(top: 16)),Medium,https://api.flutter.dev/flutter/widgets/SizedBox-class.html
12,Layout,Avoid nested Columns/Rows,Performance optimization,Use CustomScrollView or ListView,Deep nesting of flex widgets,CustomScrollView(slivers: [SliverList()]),Column(Row(Column(...))),High,
13,Layout,Use SafeArea,Edge-to-edge support,SafeArea for full-screen apps,Ignore notch/cutout,Scaffold(body: SafeArea(child: MyContent())),Scaffold(body: MyContent()) on iPhone,Medium,https://api.flutter.dev/flutter/widgets/SafeArea-class.html
14,Layout,Use MediaQuery carefully,Responsive design,MediaQuery for size constraints,MediaQuery for global theme,MediaQuery.of(context).size.width,MediaQuery for text scaling,Medium,https://api.flutter.dev/flutter/widgets/MediaQuery-class.html
15,Navigation,Use named routes,Declarative navigation,Define routes in MaterialApp,Inline Navigator.pushNamed,MaterialApp(routes: {'/home': (c) => Home()}),Navigator.push(context, MaterialPageRoute(builder: (_) => Home())),Medium,https://docs.flutter.dev/ui/navigation
16,Navigation,Use Navigator 2.0 for complex apps,Routing for web and desktop,GoRouter for declarative routing,Only Navigator 1.0,GoRouter(routes: [GoRoute(path: '/', builder: _buildHome)]),Navigator.pushNamed for all cases,Medium,https://gorouter.dev/
17,Navigation,Handle back button,Android back button support,WillPopScope for custom back handling,Ignore system back button,WillPopScope(onWillPop: () async => _confirmExit()),No back button handling,High,https://api.flutter.dev/flutter/widgets/WillPopScope-class.html
18,Assets,Use AssetImage for images,Asset management,AssetImage for app assets,NetworkImage for local files,Image(image: AssetImage('assets/image.png')),Image.network('assets/image.png'),Medium,https://docs.flutter.dev/development/ui/assets-and-images
19,Assets,Use AssetBundle for text,Load text assets,rootBundle.loadString for text files,Manual file I/O,final data = await rootBundle.loadString('assets/data.json'),File('assets/data.json').readAsString(),High,https://api.flutter.dev/flutter/services/AssetBundle-class.html
20,Performance,Avoid rebuilds,Optimize widget trees,const widgets + const constructors,Unnecessary rebuilds,const MyWidget(),Rebuild entire tree on tap,High,https://docs.flutter.dev/perf/best-practices
21,Performance,Use ListView.builder,Lazy loading for long lists,ListView.builder for dynamic lists,ListView(children: [many items]),ListView.builder(itemBuilder: _buildItem),ListView(children: items.map((i) => Item()).toList()),High,https://api.flutter.dev/flutter/widgets/ListView/ListView.builder.html
22,Performance,Use const for static lists,Compile-time lists,const [Widget1() Widget2()],Non-const lists with literals,const <Widget>[Text('a') Text('b')],<Widget>[Text('a') Text('b')] as non-const,High,https://dart.dev/guides/language/language-tour#lists
23,Performance,Use keys when needed,Widget identity,UniqueKey or ValueKey for dynamic lists,Keys everywhere,ListView.builder(itemBuilder: (_, i) => Item(key: ValueKey(i))),ListView.builder(itemBuilder: (_, i) => Item()),High,https://api.flutter.dev/flutter/foundation/Key-class.html
24,Performance,Use images efficiently,Image optimization,Resize images appropriately,Load huge images,Image.asset('image.png', width: 100),Image.asset('4000x3000.png'),High,https://docs.flutter.dev/perf/best-practices
25,Testing,Use widget tests,Test UI components,testWidgets for widget testing,Only integration tests,testWidgets('MyWidget displays', (t) async { /* test */ }),No widget tests,Medium,https://docs.flutter.dev/testing
26,Testing,Use integration tests for flows,End-to-end testing,integration_test package for flows,Widget tests for complex flows,IntegrationTestWidgetsFlutterBinding.ensureInitialized(),Widget test for login flow,Medium,https://docs.flutter.dev/testing/integration-tests
27,Testing,Mock dependencies,Isolate tests from external dependencies,Mock data/services in tests,Use real services in tests,final mockRepo = MockRepository();,final realRepo = RealRepository(); in unit tests,High,https://pub.dev/packages/mocktail
28,Styling,Use ThemeData,Consistent app styling,Define theme in MaterialApp,Hardcode colors/sizes,MaterialApp(theme: ThemeData(primarySwatch: Colors.blue)),Text('Hello', style: TextStyle(color: Colors.blue)),Medium,https://api.flutter.dev/flutter/material/ThemeData-class.html
29,Styling,Use TextStyle constants,Consistent typography,Define text styles in theme,Inline TextStyle,Theme.of(context).textTheme.headline6,TextStyle(fontSize: 20, fontWeight: FontWeight.bold),Medium,https://api.flutter.dev/flutter/material/TextTheme-class.html
30,Styling,Use Colors from theme,Color consistency,Theme.of(context).primaryColor,Colors.blue everywhere,Theme.of(context).primaryColor,Colors.blue for all primary buttons,High,https://api.flutter.dev/flutter/material/Colors-class.html
31,Animations,Use AnimatedContainer,Simple animations,AnimatedContainer for size/color changes,Custom AnimationController,AnimatedContainer(duration: const Duration(seconds: 1), color: _color),AnimationController for simple transitions,Medium,https://api.flutter.dev/flutter/widgets/AnimatedContainer-class.html
32,Animations,Use Hero animations sparingly,Shared element transitions,Hero for page-to-page shared elements,Hero for everything,Hero(tag: 'image', child: Image.asset('image.png')),Hero on every widget,Medium,https://api.flutter.dev/flutter/widgets/Hero-class.html
33,Animations,Dispose animations,Prevent memory leaks,dispose() AnimationController,Leave animations running,controller.dispose() in dispose(),No controller dispose,High,https://api.flutter.dev/flutter/animation/AnimationController-class.html
34,Accessibility,Use Semantics widget,Screen reader support,Semantics for custom widgets,Ignore accessibility,Semantics(label: 'Button', child: MyButton()),Custom widget without semantics,High,https://api.flutter.dev/flutter/widgets/Semantics-class.html
35,Accessibility,Use TextScaleFactor,Font scaling for accessibility,Respect MediaQuery.textScaleFactor,Ignore text scaling,Text(textScaleFactor: MediaQuery.of(context).textScaleFactor),Hardcoded font sizes,High,https://api.flutter.dev/flutter/widgets/MediaQuery/textScaleFactor.html
36,Accessibility,Use proper contrast,Readable text,Colors with sufficient contrast ratio,Low contrast text,Themed colors with good contrast,Text('Hello', style: TextStyle(color: Colors.grey, backgroundColor: Colors.white)),High,https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
37,Internationalization,Use intl package,Multi-language support,Flutter Localizations,Hardcoded strings,AppLocalizations.of(context)!.hello,Text('Hello'),Medium,https://docs.flutter.dev/ui/accessibility-and-internationalization/internationalization
38,Internationalization,Use pluralization,Language-specific plurals,Intl.plural for counts,Custom plural logic,Intl.plural(_count, one: '1 item', other: '$_count items'),_count == 1 ? '1 item' : '$_count items',Medium,https://pub.dev/packages/intl
39,Security,Use secure storage,Store sensitive data,flutter_secure_storage for keys,Ignore secure storage,await _secureStorage.write(key: 'token', value: token),SharedPreferences.setString('token', token),High,https://pub.dev/packages/flutter_secure_storage
40,Security,Use HTTPS,Secure network requests,https:// for all network calls,http:// in production,final response = await http.get(Uri.parse('https://example.com')),final response = await http.get(Uri.parse('http://example.com')),High,https://developer.android.com/training/articles/security-config
41,Security,Validate inputs,Prevent injection attacks,Sanitize user inputs,Trust all input,final sanitized = Uri.encodeComponent(input),final query = 'SELECT * FROM users WHERE name = '$input'',High,https://owasp.org/Top10/A03_2021-Injection/
42,Error Handling,Use try-catch for async,Dart async error handling,try-catch for async operations,Ignore async errors,try { await apiCall(); } catch (e) { /* handle */ },await apiCall(),Medium,https://dart.dev/guides/language/language-tour#exception-handling
43,Error Handling,Use FlutterError.onError,Global error handling,Set FlutterError.onError,Uncaught errors,FlutterError.onError = (details) => log(details.exception),No error handler,High,https://api.flutter.dev/flutter/foundation/FlutterError/onError.html
44,Error Handling,Use ScaffoldMessenger,User-facing error messages,ScaffoldMessenger.showSnackBar for errors,Print to console,ScaffoldMessenger.of(context).showSnackBar(...),print('Error: $e'),Medium,https://api.flutter.dev/flutter/material/ScaffoldMessenger-class.html
45,Dart,Use null safety,Dart 2.12+ safety features,Use ? and ! appropriately,Nullable without null checks,final String? name;,String name; (non-nullable without init),High,https://dart.dev/null-safety
46,Dart,Use extensions for utility,Organize helper functions,extension StringExtensions on String { bool get isEmail => ...; },Global helper functions,extension StringExt on String { /* helpers */ },bool isEmail(String s) { /* ... */ },Medium,https://dart.dev/guides/language/extension-methods
47,Dart,Use late for non-null initialization,Lazy initialization,late String name; // initialized later,Nullable for non-null values,late final String name; // in State.initState(),String? name; // always non-null,Medium,https://dart.dev/null-safety/understanding-null-safety#late-variables
48,Dart,Use async/await,Modern async programming,async/await for asynchronous code,Future.then() chains,Future<void> fetch() async { final data = await apiCall(); },fetch().then((data) => process(data)).catchError((e) => handle(e)),Medium,https://dart.dev/codelabs/async-await
49,Performance,Use const for widgets in lists,Performance optimization,const Widget in lists,Non-const in large lists,ListView.builder(itemBuilder: (_, i) => const MyItem()),ListView.builder(itemBuilder: (_, i) => MyItem()),High,https://docs.flutter.dev/perf/best-practices
50,Testing,Use golden tests,Visual regression testing,flutter_test for golden tests,Manual visual testing,expect(find.byType(MyWidget), matchesGoldenFile('goldens/my_widget.png')),No visual tests,Medium,https://docs.flutter.dev/testing/flutter-test-golden
