No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,App Router,Use the App Router for new projects,Next.js 13+ recommended structure,app/ directory with layout.tsx,Only pages/ directory,app/layout.tsx with children prop,pages/_app.tsx + pages/index.tsx for new apps,High,https://nextjs.org/docs/app
2,App Router,Use Server Components by default,React Server Components for better performance,async functions in Server Components,Client Components everywhere,async function Page() { const data = await fetch(...); },'use client' for static components,High,https://nextjs.org/docs/getting-started/react-essentials#server-components
3,App Router,Use 'use client' sparingly,Optimize hydration,Only client components for interactive UI,Client components for everything,'use client' only for interactive elements,'use client' on all components,High,https://nextjs.org/docs/getting-started/react-essentials#client-components
4,App Router,Use Layouts for shared UI,Composable layouts,app/layout.tsx for root layout,Duplicate headers/footers,export default function RootLayout({ children }) { return <html><body>{children}</body></html>; },Header component in every page,Medium,https://nextjs.org/docs/app/building-your-application/routing/pages-and-layouts#layouts
5,App Router,Use Loading Components,Instant loading states,app/(dashboard)/loading.tsx,Skeleton in every component,export default function Loading() { return <div className="skeleton" />; },Manual conditional loading states,Medium,https://nextjs.org/docs/app/building-your-application/routing/pages-and-layouts#loading-ui
6,Data Fetching,Use fetch with caching,Built-in Next.js caching,await fetch(url, { next: { revalidate: 3600 } }),Use axios or other libs without caching,await fetch('https://api.example.com', { next: { revalidate: 60 } }),import axios; await axios.get('https://api.example.com'),High,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching-caching-and-revalidating
7,Data Fetching,Use generateStaticParams,Static site generation for dynamic routes,export async function generateStaticParams() { /* ... */ },No static generation for dynamic routes,export async function generateStaticParams() { return [{ id: '1' }, { id: '2' }]; },Dynamic routes without generateStaticParams,Medium,https://nextjs.org/docs/app/api-reference/functions/generate-static-params
8,Data Fetching,Use revalidate for ISR,Incremental Static Regeneration,{ next: { revalidate: 60 } } for ISR,No revalidation strategy,await fetch('https://api.example.com', { next: { revalidate: 60 } }),Static pages without revalidation,Medium,https://nextjs.org/docs/app/building-your-application/data-fetching/incremental-static-regeneration
9,Performance,Use Image component,Next.js optimized images,next/image for all images,img tag directly,import Image from 'next/image'; <Image src="/image.jpg" alt="" width={500} height={300} />,<img src="/image.jpg" alt="" width="500" height="300" />,High,https://nextjs.org/docs/app/api-reference/components/image
10,Performance,Use Link component,Client-side navigation,next/link for internal links,a tag for all links,import Link from 'next/link'; <Link href="/about">About</Link>,<a href="/about">About</a> for internal routes,High,https://nextjs.org/docs/app/api-reference/components/link
11,Performance,Use Font component,Optimized fonts,next/font for Google/self-hosted fonts,Direct @import in CSS,import { Inter } from 'next/font/google'; const inter = Inter(); <body className={inter.className} />,@import url('https://fonts.googleapis.com/css2?family=Inter&display=swap');,High,https://nextjs.org/docs/app/api-reference/components/font
12,Performance,Use Suspense for streaming,React 18 streaming,React.Suspense with loading components,No streaming,import { Suspense } from 'react'; <Suspense fallback={<Loading />}><Component /></Suspense>,No Suspense wrapping,Medium,https://nextjs.org/docs/app/building-your-application/routing/pages-and-layouts#loading-ui-with-suspense
13,API Routes,Use Route Handlers,Next.js 13+ API routes,app/api/route.ts,Only pages/api routes,export async function GET() { return NextResponse.json({ hello: 'world' }); },pages/api/route.js for new endpoints,Medium,https://nextjs.org/docs/app/building-your-application/routing/route-handlers
14,API Routes,Use NextResponse,Response helper,NextResponse.json() for JSON responses,Plain Response object,import { NextResponse } from 'next/server'; return NextResponse.json({ data });,return new Response(JSON.stringify({ data }), { headers: { 'Content-Type': 'application/json' } }),Medium,https://nextjs.org/docs/app/api-reference/functions/next-response
15,Styling,Use Tailwind CSS,Recommended styling solution,Tailwind CSS with @tailwind directives,Inline styles everywhere,className="text-center p-4",style={{ textAlign: 'center', padding: '1rem' }},Medium,https://nextjs.org/docs/app/building-your-application/styling/tailwind-css
16,Styling,Use CSS Modules,Scoped styles,Component.module.css,CSS-in-JS for simple styles,import styles from './Component.module.css'; <div className={styles.container} />,styled.div from '@emotion/styled',Medium,https://nextjs.org/docs/app/building-your-application/styling/css-modules
17,Styling,Use app/global.css,Global styles,app/global.css for global styles,Multiple global CSS files,app/global.css with @tailwind base, Multiple global CSS imports,Medium,https://nextjs.org/docs/app/building-your-application/styling/css-modules#global-styles
18,SEO,Use Metadata API,Next.js SEO handling,export const metadata: Metadata = { /* ... */ },Head component for all metadata,export const metadata = { title: 'My Page', description: 'My description' },<Head><title>My Page</title></Head>,Medium,https://nextjs.org/docs/app/api-reference/functions/generate-metadata
19,SEO,Use generateMetadata,Dynamic metadata,export async function generateMetadata() { /* ... */ },Static metadata for dynamic pages,export async function generateMetadata({ params }) { return { title: `Post ${params.id}` }; },Static metadata for dynamic routes,Medium,https://nextjs.org/docs/app/api-reference/functions/generate-metadata
20,Configuration,Use next.config.js for config,Next.js configuration,next.config.js with modular configuration,Hardcode config in code,/** @type {import('next').NextConfig} */ const nextConfig = { /* ... */ }; module.exports = nextConfig;,Runtime config in components,Medium,https://nextjs.org/docs/app/api-reference/next-config-js
21,Configuration,Use environment variables,Secure config,process.env.NEXT_PUBLIC_VAR for client,Hardcode secrets,const apiKey = process.env.NEXT_PUBLIC_API_KEY;,const apiKey = 'sk-1234567890abcdef';,High,https://nextjs.org/docs/app/building-your-application/configuring/environment-variables
22,Testing,Use Playwright for E2E,Recommended E2E testing,playwright test for end-to-end tests,No E2E tests,npx playwright test,No E2E testing,Medium,https://nextjs.org/docs/app/building-your-application/testing/playwright
23,Testing,Use Jest for unit tests,Recommended unit testing,Jest with React Testing Library,No unit tests,import { render, screen } from '@testing-library/react'; test('renders', () => { render(<Component />); });,No unit tests,Medium,https://nextjs.org/docs/app/building-your-application/testing/jest
24,Deployment,Use Vercel for hosting,Official Next.js hosting,Vercel for Next.js deployment,Other hosts without Next.js optimizations,Deploy to Vercel,Deploy to hosts without Next.js support,Medium,https://vercel.com/docs/frameworks/nextjs
25,Deployment,Use Edge Functions,Edge runtime,export const runtime = 'edge' for edge functions,No edge runtime,export const runtime = 'edge'; export async function GET() { /* ... */ },Serverless functions only,Medium,https://nextjs.org/docs/app/api-reference/file-conventions/route#runtime
26,TypeScript,Use strict mode,Type safety,"strict": true in tsconfig.json,Loose TypeScript settings,"strict": true in tsconfig.json,"strict": false in tsconfig.json,High,https://nextjs.org/docs/app/building-your-application/configuring/typescript
