No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use Functional Components,Modern React Native,Use functional components with hooks,Class components,const MyComponent = () => { /* ... */ },class MyComponent extends Component { /* ... */ },High,https://reactnative.dev/docs/components-and-apis
2,Components,Use Pressable for touchables,New touch system,Pressable for custom touch effects,TouchableHighlight/TouchableOpacity for all,import { Pressable } from 'react-native'; <Pressable onPress={() => {}} />,<TouchableHighlight onPress={() => {}} />,Medium,https://reactnative.dev/docs/pressable
3,Components,Use FlatList for lists,Virtualized lists,FlatList for long lists,map for all lists,import { FlatList } from 'react-native'; <FlatList data={data} renderItem={({ item }) => <Item item={item} />} />,data.map(item => <Item item={item} />),High,https://reactnative.dev/docs/flatlist
4,Components,Use SectionList for sectioned lists,Sectioned data,SectionList for grouped lists,Custom grouping with FlatList,import { SectionList } from 'react-native'; <SectionList sections={sections} renderItem={({ item }) => <Item item={item} />} />,Custom section headers with FlatList,Medium,https://reactnative.dev/docs/sectionlist
5,Performance,Use useMemo for expensive computations,Optimized renders,useMemo for expensive calculations,No memoization,import { useMemo } from 'react'; const expensiveValue = useMemo(() => computeExpensiveValue(a, b), [a, b]);,const expensiveValue = computeExpensiveValue(a, b);,Medium,https://react.dev/reference/react/useMemo
6,Performance,Use useCallback for functions,Optimized callbacks,useCallback for stable functions,No callback memoization,import { useCallback } from 'react'; const handlePress = useCallback(() => {}, []);,<TouchableOpacity onPress={() => {}} />,Medium,https://react.dev/reference/react/useCallback
7,Performance,Use React.memo for components,Optimized components,React.memo for pure components,No component memoization,const MyComponent = React.memo(() => { /* ... */ });,const MyComponent = () => { /* ... */ };,Medium,https://react.dev/reference/react/memo
8,Performance,Use useRef for mutable values,Persistent values,useRef for values that don't trigger re-renders,State for mutable values,import { useRef } from 'react'; const countRef = useRef(0);,const [count, setCount] = useState(0); // for non-UI values,Medium,https://react.dev/reference/react/useRef
9,Navigation,Use React Navigation,Recommended navigation,React Navigation 6.x for navigation,Custom navigation solutions,import { NavigationContainer } from '@react-navigation/native'; <NavigationContainer> {/* ... */} </NavigationContainer>,Custom StackNavigator,High,https://reactnavigation.org/docs/getting-started
10,Navigation,Use Stack Navigator for screens,Stack navigation,createNativeStackNavigator for stack screens,Use old StackNavigator,import { createNativeStackNavigator } from '@react-navigation/native-stack'; const Stack = createNativeStackNavigator();,import { createStackNavigator } from '@react-navigation/stack';,Medium,https://reactnavigation.org/docs/native-stack-navigator
11,Navigation,Use Tab Navigator for tabs,Tab navigation,createBottomTabNavigator for tab bars,Custom tab solutions,import { createBottomTabNavigator } from '@react-navigation/bottom-tabs'; const Tab = createBottomTabNavigator();,Custom tab bar component,Medium,https://reactnavigation.org/docs/bottom-tab-navigator
12,Navigation,Use Drawer Navigator for side menus,Drawer navigation,createDrawerNavigator for drawer menus,Custom drawer solutions,import { createDrawerNavigator } from '@react-navigation/drawer'; const Drawer = createDrawerNavigator();,Custom drawer component,Medium,https://reactnavigation.org/docs/drawer-navigator
13,Styling,Use StyleSheet.create,Optimized styles,StyleSheet.create for styles,Inline styles everywhere,import { StyleSheet } from 'react-native'; const styles = StyleSheet.create({ container: { flex: 1 } });,<View style={{ flex: 1 }} />,High,https://reactnative.dev/docs/stylesheet
14,Styling,Use theme with context,Consistent styling,Theme context for global styles,Hardcoded colors,const theme = { colors: { primary: '#007AFF' } }; <ThemeProvider value={theme} />,<View style={{ backgroundColor: '#007AFF' }} />,Medium,https://react.dev/learn/passing-data-deeply-with-context
15,Styling,Use responsive units,Responsive design,Dimensions API or useWindowDimensions,Hardcoded pixel values,import { useWindowDimensions } from 'react-native'; const { width } = useWindowDimensions();,const width = 300;,Medium,https://reactnative.dev/docs/usewindowdimensions
16,State Management,Use React Context for simple state,Context API,Context for global state,Redux for all state,const MyContext = createContext(); <MyContext.Provider value={value}> {/* ... */} </MyContext.Provider>,Redux store for simple state,Medium,https://react.dev/learn/passing-data-deeply-with-context
17,State Management,Use Zustand for complex state,Lightweight state management,Zustand for medium-complexity state,Redux for all state,import { create } from 'zustand'; const useStore = create((set) => ({ count: 0, increment: () => set((state) => ({ count: state.count + 1 })) }));,Redux store with reducers for medium state,Medium,https://zustand-demo.pmnd.rs/
