No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use Functional Components,Modern React,Functional components with hooks,Class components,const MyComponent = () => { /* ... */ },class MyComponent extends React.Component { /* ... */ },High,https://react.dev/learn/your-first-component
2,Components,Use Hooks,React 16.8+ features,useState, useEffect, useContext etc.,Class lifecycle methods,import { useState } from 'react'; const [count, setCount] = useState(0);,this.setState({ count: this.state.count + 1 });,High,https://react.dev/reference/react/hooks
3,Components,Keep components small,Single responsibility,Extract into smaller components,Large monolithic components,const Header = () => <header>...</header>; const Content = () => <main>...</main>;,const Page = () => { /* 500+ lines */ };,Medium,https://react.dev/learn/keeping-components-pure
4,Components,Use PascalCase,Component naming convention,PascalCase for component names,camelCase or snake_case,const MyComponent = () => { /* ... */ };,const my_component = () => { /* ... */ };,Low,https://react.dev/learn/your-first-component#how-to-write-a-component
5,Hooks,Only call hooks at the top level,Hook rules,Call hooks at component top level,Call hooks in loops/conditions,const MyComponent = () => { const [count] = useState(0); /* ... */ };,if (condition) { const [count] = useState(0); },High,https://react.dev/learn/hooks-rules
6,Hooks,Only call hooks from React components,Hook rules,Call hooks from components/custom hooks,Call hooks from regular functions,const MyComponent = () => { const [count] = useState(0); /* ... */ };,function regularFunction() { const [count] = useState(0); },High,https://react.dev/learn/hooks-rules
7,Hooks,Use useCallback for functions,Hook optimization,useCallback for stable functions,Inline functions in dependencies,import { useCallback } from 'react'; const handleClick = useCallback(() => {}, []);,const handleClick = () => {}; useEffect(() => { /* ... */ }, [handleClick]);,Medium,https://react.dev/reference/react/useCallback
8,Hooks,Use useMemo for expensive calculations,Hook optimization,useMemo for expensive computations,No memoization,import { useMemo } from 'react'; const expensiveValue = useMemo(() => compute(), [deps]);,const expensiveValue = compute();,Medium,https://react.dev/reference/react/useMemo
9,Hooks,Use useRef for mutable values,Hook for refs,useRef for mutable values without re-renders,State for non-UI values,import { useRef } from 'react'; const countRef = useRef(0);,const [count, setCount] = useState(0); // for non-UI values,Medium,https://react.dev/reference/react/useRef
10,Hooks,Use useEffect with proper dependencies,Effect cleanup,Specify all dependencies,Missing dependencies,import { useEffect } from 'react'; useEffect(() => { /* ... */ }, [dep1, dep2]);,useEffect(() => { /* ... */ }, []); // missing dependencies,High,https://react.dev/reference/react/useEffect
