No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use SwiftUI components,Modern Apple UI,SwiftUI components for all UI,UIKit for all UI,struct ContentView: View { var body: some View { Text("Hello") } },class ViewController: UIViewController { /* ... */ },High,https://developer.apple.com/documentation/swiftui
2,Components,Use struct for views,Value types,Structs for all views,Classes for views,struct MyView: View { /* ... */ },class MyView: View { /* ... */ },High,https://developer.apple.com/documentation/swiftui/view
3,Components,Use @State for local state,State management,@State for mutable state,Global variables,@State private var count = 0,var count = 0 (global),High,https://developer.apple.com/documentation/swiftui/state
4,Components,Use @Binding for parent state,Two-way binding,@Binding for child-parent state,Manual callbacks,@Binding var isOn: Bool,var isOn: Bool, @escaping (Bool) -> Void,High,https://developer.apple.com/documentation/swiftui/binding
5,Components,Use @StateObject for observable objects,Observable objects,@StateObject for created objects,@ObservedObject for created objects,@StateObject private var viewModel = ViewModel(),@ObservedObject private var viewModel = ViewModel(),Medium,https://developer.apple.com/documentation/swiftui/stateobject
6,Components,Use @EnvironmentObject for global state,Global state,@EnvironmentObject for injected objects,@ObservedObject for global state,@EnvironmentObject private var appState: AppState,@ObservedObject private var appState: AppState (passed everywhere),Medium,https://developer.apple.com/documentation/swiftui/environmentobject
7,Components,Use @ObservedObject for external objects,External state,@ObservedObject for received objects,@StateObject for received objects,@ObservedObject private var viewModel: ViewModel,@StateObject private var viewModel: ViewModel (passed in),Medium,https://developer.apple.com/documentation/swiftui/observedobject
8,Components,Use ObservableObject for view models,Reactive view models,ObservableObject with @Published,Manual notification centers,class ViewModel: ObservableObject { @Published var data = [String]() },class ViewModel { var data = [String]() /* manual notifications */ },High,https://developer.apple.com/documentation/combine/observableobject
9,Components,Use @Published for observable properties,Published properties,@Published for reactive properties,Manual willSet/didSet with notifications,@Published var isLoading = false,var isLoading = false { didSet { /* manual update */ } },High,https://developer.apple.com/documentation/combine/published
10,Layout,Use HStack for horizontal layout,Layout containers,HStack for horizontal views,VStack with rotation,HStack { Text("Hello") Text("World") },VStack { Text("Hello") Text("World") }.rotationEffect(.degrees(90)),Medium,https://developer.apple.com/documentation/swiftui/hstack
