No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use Single File Components,Modern Vue,Use .vue files for components,Separate files for template/script/style,<!-- MyComponent.vue --> <template><h1>Hello</h1></template><script>export default {}</script>,index.html + script.js + style.css,High,https://vuejs.org/guide/scaling-up/sfc.html
2,Components,Use Composition API,New Vue 3 API,Use Composition API with <script setup>,Options API for new components,<script setup> /* ... */ </script>,<script>export default { /* Options API */ }</script>,High,https://vuejs.org/guide/extras/composition-api-faq.html
3,Components,Use script setup,Syntax sugar,<script setup> for concise components,Normal <script> with defineComponent,<script setup> /* ... */ </script>,<script>import { defineComponent } from 'vue'; export default defineComponent({ /* ... */ });</script>,High,https://vuejs.org/api/sfc-script-setup.html
4,Components,Use ref for reactive variables,Reactive state,ref for primitive reactive values,No reactivity,import { ref } from 'vue'; const count = ref(0);,let count = 0; (no reactivity),High,https://vuejs.org/api/reactivity-core.html#ref
5,Components,Use computed for computed values,Computed properties,computed for derived values,Manual computed values,import { computed } from 'vue'; const doubled = computed(() => count.value * 2);,const doubled = count.value * 2; (manual update),High,https://vuejs.org/api/reactivity-core.html#computed
6,Components,Use watch for side effects,Watchers,watch for reactive watching,Manual watching,import { watch } from 'vue'; watch(count, (newVal) => console.log(newVal));,setInterval(() => { /* check for changes */ }, 1000);,Medium,https://vuejs.org/api/reactivity-core.html#watch
7,Components,Use watchEffect for reactive effects,Reactive effects,watchEffect for automatic watching,Manual effect tracking,import { watchEffect } from 'vue'; watchEffect(() => console.log(count.value));,watch(count, (newVal) => console.log(newVal));,Medium,https://vuejs.org/api/reactivity-core.html#watcheffect
8,Components,Use onMounted for initialization,Lifecycle,onMounted for mount hook,Options API mounted,onMounted(() => { /* initialize */ });,export default { mounted() { /* initialize */ } },Medium,https://vuejs.org/api/composition-api-lifecycle.html#onmounted
9,Components,Use onUnmounted for cleanup,Lifecycle,onUnmounted for cleanup hook,Options API beforeUnmount,onUnmounted(() => { /* cleanup */ });,export default { beforeUnmount() { /* cleanup */ } },Medium,https://vuejs.org/api/composition-api-lifecycle.html#onunmounted
10,Components,Use defineProps for props,Component props,defineProps for component props,Options API props,const props = defineProps({ title: String });,export default { props: { title: String } },High,https://vuejs.org/api/sfc-script-setup.html#defineprops
11,Components,Use defineEmits for events,Component events,defineEmits for custom events,Options API emits,const emit = defineEmits(['update']); emit('update');,export default { emits: ['update'], methods: { update() { this.$emit('update'); } } },High,https://vuejs.org/api/sfc-script-setup.html#defineemits
12,Components,Use defineExpose for exposed properties,Exposed properties,defineExpose for public properties,Options API expose,defineExpose({ count });,export default { expose: ['count'] },Medium,https://vuejs.org/api/sfc-script-setup.html#defineexpose
13,Components,Use provide/inject for dependency injection,Dependency injection,provide/inject for tree-shared state,Props drilling,import { provide, inject } from 'vue'; provide('key', value); const value = inject('key');,Pass props through 5+ components,Medium,https://vuejs.org/guide/components/provide-inject.html
14,Components,Use Teleport for portal rendering,Portal rendering,Teleport for out-of-DOM rendering,Manual DOM manipulation,<Teleport to="#app"> <div>...</div> </Teleport>,document.body.appendChild(element);,Medium,https://vuejs.org/guide/built-ins/teleport.html
15,Components,Use Suspense for async components,Async components,Suspense for loading states,Manual loading states,<Suspense> <template #default><AsyncComponent /></template> <template #fallback>Loading...</template> </Suspense>,<AsyncComponent v-if="!loading" /> <div v-else>Loading...</div>,Medium,https://vuejs.org/guide/built-ins/suspense.html
16,Styling,Use scoped styles,Scoped CSS,<style scoped> for component styles,Global CSS for all,<style scoped> .container { color: red; } </style>,<style> .container { color: red; } </style> (global),Medium,https://vuejs.org/api/sfc-style.html#scoped-css
17,Styling,Use CSS modules,CSS modules,<style module> for CSS modules,No CSS organization,<style module> .container { color: red; } </style> <div :class="$style.container">...</div>,<div class="container">...</div> with global CSS,Medium,https://vuejs.org/api/sfc-style.html#css-modules
18,Styling,Use Tailwind CSS,Utility-first CSS,Tailwind for utility-first styling,Inline styles everywhere,<div class="text-center p-4">...</div>,<div :style="{ textAlign: 'center', padding: '1rem' }">...</div>,Medium,https://tailwindcss.com/
19,Styling,Use CSS preprocessors,Preprocessors,Use lang attribute for preprocessors,Manual compilation,<style lang="scss"> $primary: red; .container { color: $primary; } </style>,<style> .container { color: #ff0000; } </style>,Medium,https://vuejs.org/api/sfc-style.html#pre-processors
20,Styling,Use v-bind in CSS,CSS variables,Use v-bind() in CSS for reactivity,No reactive CSS,<template><div class="container"></div></template><script setup>const color = ref('red');</script><style scoped> .container { color: v-bind(color); } </style>,<div :style="{ color: color }"></div>,Medium,https://vuejs.org/api/sfc-style.html#v-bind-in-css
21,Templating,Use v-model for two-way binding,Two-way binding,v-model for form inputs,Manual binding,<input v-model="name" />,<input :value="name" @input="name = $event.target.value" />,High,https://vuejs.org/guide/components/v-model.html
22,Templating,Use v-if/v-else for conditionals,Conditional rendering,v-if for conditional content,JavaScript ternary in template,<div v-if="show">Visible</div> <div v-else>Hidden</div>,<div>{{ show ? 'Visible' : 'Hidden' }}</div>,Medium,https://vuejs.org/guide/essentials/conditional.html
23,Templating,Use v-for for lists,List rendering,v-for for dynamic lists,Manual map in template,<div v-for="item in items" :key="item.id">{{ item.name }}</div>,<div>{{ items.map(item => item.name).join(', ') }}</div>,High,https://vuejs.org/guide/essentials/list.html
24,Templating,Use :key for list keys,List keys,:key for efficient list rendering,No keys for lists,<div v-for="item in items" :key="item.id">{{ item.name }}</div>,<div v-for="item in items">{{ item.name }}</div>,High,https://vuejs.org/guide/essentials/list.html#maintaining-state-with-key
25,Templating,Use v-show for toggling visibility,Visibility toggling,v-show for frequent visibility changes,v-if for frequent changes,<div v-show="visible">Visible</div>,<div v-if="visible">Visible</div> (frequent toggling),Medium,https://vuejs.org/guide/essentials/conditional.html#v-if-vs-v-show
26,Templating,Use v-on for events,Event handling,v-on or @ for event listeners,Manual event listeners,<button @click="handleClick">Click</button>,<button onclick="handleClick">Click</button>,High,https://vuejs.org/guide/essentials/event-handling.html
27,Templating,Use v-bind for attributes,Attribute binding,v-bind or : for dynamic attributes,Manual attribute setting,<img :src="imageUrl" alt="" />,<img src="{{ imageUrl }}" alt="" />,Medium,https://vuejs.org/guide/essentials/template-syntax.html#dynamic-arguments
28,Templating,Use v-html for HTML content,HTML content,v-html for raw HTML,Dangerous HTML rendering,<div v-html="htmlContent"></div>,<div>{{ htmlContent }}</div> (no HTML rendering),Medium,https://vuejs.org/guide/essentials/template-syntax.html#raw-html
29,Templating,Use computed properties in templates,Template optimization,computed for template computations,Heavy computations in template,<div>{{ computedValue }}</div>,<div>{{ heavyComputation() }}</div> (in template),Medium,https://vuejs.org/guide/essentials/computed.html
30,State Management,Use Pinia for state management,State management,Pinia for Vue 3 state,Vuex for Vue 3,import { defineStore } from 'pinia'; export const useStore = defineStore('main', { /* ... */ });,import { createStore } from 'vuex'; const store = createStore({ /* ... */ });,Medium,https://pinia.vuejs.org/
31,State Management,Use defineStore for stores,Pinia stores,defineStore for store definition,No store organization,export const useCounterStore = defineStore('counter', { state: () => ({ count: 0 }) });,Global variables for state,Medium,https://pinia.vuejs.org/core-concepts/
32,State Management,Use storeToRefs for reactive store refs,Reactive store refs,storeToRefs for reactive store properties,No reactivity from store,import { storeToRefs } from 'pinia'; const { count } = storeToRefs(store);,const { count } = store; (no reactivity),Medium,https://pinia.vuejs.org/core-concepts/#using-the-store
33,Routing,Use Vue Router for routing,Client-side routing,Vue Router for app routing,Custom routing solutions,import { createRouter, createWebHistory } from 'vue-router'; const router = createRouter({ history: createWebHistory(), routes: [ /* ... */ ] });,
